,Контингент (индификатор),Название проекта (Описание),Дата выхода,Цена,"Производитель, разработчик","Покупатель, заказчик",Участник торгов
1151,(Контингент: CGN-202301170010),"Обнародование результатов поставки одного инженерного оборудования для очистки сточных вод в Тяньцзине, Поставка оборудования для обработки сточных вод в рамках проекта &lt; &lt; Бентампинг &gt; &gt; (запрос No CGN-202301170010) для определения проекта, Наблюдение за данной тендерной программой",2023-04-13,7979946, Zhong Rehabilitation," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1152,(Контингент: CGN-20230223002),"70 МВт в проектно-конструкторской съемки 70 МВт наземной ветроэнергетики в шести специальных районах Китая, 70 МВт проект по проектированию наземной ветроэнергетики в шести областных зонах Хиросимы (запрос No CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2023-04-14,, Rongyon Power Company, &quot; Чайна инжиниринг лимитед &quot;,
1153,(Контингент: CGN-202203230005),Наблюдение за данной тендерной программой,2022-05-24,26842000, электрическая компания," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1154,(Контингент: CGN-20230320008),"500 МВт ветроэнергетического проекта в Цинхай, 500 МВт ветроэнергетического проекта на озере Бен Цинхайо (пункт 1) (запрос No: CGN-20230320008), Надзор за осуществлением данного тендерного проекта /.",2023-05-11,35660547, Sandong Terek Electric Engineering Ltd., &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хиросима &gt; &gt;
1155,(Контингент: CGN-202212230001),Надзор за осуществлением данного тендерного проекта /.,2023-06-09,73948000, Jiang Kong Kong, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Гуаньчжоу &gt; &gt;
1156,(Контингент: CGN-20221107002),"Строительство фотоэлектрической зоны в рамках проекта &lt; &lt; Интегрированное отопление &gt; &gt; , Китай и Гуанчжоу (пункт 2), Строительство фотоэлектрической зоны в рамках проекта &lt; &lt; Интегрированная гамма-термия &gt; &gt; (пункт 2) &lt; &lt; ЕПК &gt; &gt; (запрос No: CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2023-02-15,45110191,, &quot; Чайна инжиниринг лимитед &quot;," China &apos; s New Energy Ltd.,  Чжао"
1157,,"Обнародование результатов, указанных в пунктах 1 и 2 проекта BJ LOT10B для обычного острова и легкой установки BOP (третий тендер), LOT10B и BOP (третий тендер) (номер тендера), Наблюдение за данной тендерной программой",2021-07-22,6480000, Hong Kong," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1158,(Контингент: CGN-20230320004),"110 кВ ветроэлектростанции в Гуанси Хинге, 110 кВ ветряной электростанции &lt; &lt; Хокинг &gt; &gt; (запрос No CGN-20230320004), Надзор за осуществлением данного тендерного проекта /.",2023-05-16,5470920, Guangzing Horry Electric, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хиросима &gt; &gt;
1159,,"Проект &lt; &lt; LOT87Ab &gt; &gt; и проект &lt; &lt; Приложение к к к кабели &gt; &gt;, Циркуляр результатов, Подразделение LOT87Ab и кабельное приложение к проекту LF LOT87Ab (номер тендера: CGN-20220428003), Название проекта: Миниатюра LOT87Ab и приложение к кабели, Наблюдение за данной тендерной программой",2022-12-14,26998729, Jiangsu Sun," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1160,,"Закупка азотной солью компании &lt; &lt; Нитраты &gt; &gt; (2-й повторный тендер) (номер тендера: CGN-202303010008-, Надзор за осуществлением данного тендерного проекта /.",2023-06-16,,,",  China Solars Dingha Ltd,  &quot; Чайна инжиниринг лимитед &quot;",
1161,(Контингент: CGN-202304140004),Надзор за осуществлением данного тендерного проекта /.,2023-07-12,,, &quot; Чайна инжиниринг лимитед &quot;," &lt; &lt; Чайна Хиросима &gt; &gt;,  Чжао"
1162,,"Закупка лифта и монтажа (перезакупка) (CGN-, Результаты, Название проекта: Закупка лифта и установка лифта для проекта Jiangang BJ (перезакупка), Наблюдение за осуществлением данного тендерного проекта",2023-09-13,8800000, Connected лифт," &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1163,(Конференция: CGN-20220215006),Наблюдение за данной тендерной программой,2022-08-26,10899999, Sigcode Electric Company," &lt; &lt; Си-Си-Ян &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1164,(Конференция: CGN-20230508002),"Результаты проекта AD и проекта BZ LOT42Ab (конденсационные насосы и низкогабаритные насосы), Проект AD и проект BZ LOT42Ab (конденсивные насосы и низкогабаритные насосы), Наблюдение за данной тендерной программой",2023-07-21,21992000,," &quot; Шэньян &quot;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1165,(Контингент: CGN-202105240004),Наблюдение за данной тендерной программой,2021-08-10,1518007,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1166,(Контингент: CGN-20230306004),Надзор за осуществлением данного тендерного проекта /.,2023-05-09,,, &quot; Чайна инжиниринг лимитед &quot;,
1167,,"Проект: Закупка экспериментальной системы контроля (перезакупка), Наблюдение за данной тендерной программой",2022-02-21,4887869," Cansda Automotive Technology, Шэньчжэнь"," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
1168,(Конференция: CGN-20211228002),"LF-проект 5 и 6 LOT49A Пожарная установка, Устройства пожаротушения, специально предназначенные для пожаротушения на заводе LOT49A (номер тендера: CGN-20211228002) в блоке LF 5, 6, для определения медианы проекта, Наблюдение за данной тендерной программой",2022-03-07,18541800,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1169,(Контингент: CGN-20210519009),"Объяснение результатов работ по циркуляции дорог в Южно-Мугской ветряной электростанции в порту Гуанси, Проект по твердке дорог в южном ветряном ветряном поле Гуанси (пункт 2) (номер тендера: CGN-20210519009) для определения этого подпункта, Проект: проект по циркуляции дорог в южном ветряном поле в районе Гуанси (пункт 2), Наблюдение за данной тендерной программой",2021-07-07,7583550,," &lt; &lt; Саут-Ветер &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1170,(Контингент: CGN-202307130011),"Если 1 миллион ветроэнергетических проектов 35kV закупка электропроводов (пункт 2), Закупка 35кВ для строительства электропровода в рамках проекта 1 млн ветровой энергии (пункт 2) (номер тендера: CGN-202307130011), Надзор за осуществлением данного тендерного проекта /.",2023-08-30,58820006, Sandong Terek Electric Engineering Ltd., &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy Sound
1171,,"Проект закупок оборудования для комплексной оценки травматизма, Циркуляр результатов, Закупка интегрированного оборудования для оценки тепловых утомлений (номер тендера: CGN-202112200004) для выявления участников проекта, Название проекта: Закупка оборудования для оценки тепловых травм, Наблюдение за данной тендерной программой",2022-02-21,4780000, Beijing Soun Technologies, &quot; Чайна инжиниринг лимитед &quot;,
1172,"(Контингент: CGN-20220817002), Номер: CGN-20220817002), идентифицированные лица:","2. Показать результаты, Надзор за осуществлением данного тендерного проекта /.",2022-10-31,119085969,," &lt; &lt; Стимул &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;"," &lt; &lt; Синьхуа &gt; &gt; , &lt; &lt; Коул &gt; &gt;"
1173,"Номер проекта: CGN-202303230004-N1, идентифицированные лица:","Синьцзян-Уйгурский проект по выпуску линий электропередачи и проект топографической съемки (тяжелый), Синьцзян-Уйгурский проект по выпуску линий электропередачи и проект топографической съемки (перезаключение), Консалтинговая компания по проектированию электроэнергетики Сычуань, Надзор за осуществлением данного тендерного проекта /.",2023-06-19,,, &quot; Чайна инжиниринг лимитед &quot;," &lt; &lt; Ветроэнергетика &gt; &gt; , &lt; &lt; Чайна &gt; &gt;"
1174,,"Циркуляр результатов, Наблюдение за данной тендерной программой",2022-11-07,947003009,," &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1175,,"Результаты генерального подряда (переторга) на проект PC по производству фотоэлектрической энергии в Гилонге, Северный Чин, Генеральный контракт на проект по производству фотоэлектрической энергии в Гилонге, Северный Чин, Наблюдение за данной тендерной программой",2023-05-18,65937188,," &lt; &lt; Чинбэйз лимитед &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1176,(Контингент: CGN-20210706007),"Краткая информация о результатах слияний в закупке оборудования для замены глифосата, Совместимая закупка оборудования для замены ячменя с глифосатом (номер тендера: CGN-20210706007) для определения победителей проекта., Проект: Совместная закупка оборудования для замены глифосата, Наблюдение за данной тендерной программой",2021-08-23,21862005,, &quot; Чайна инжиниринг лимитед &quot;," SandongTek,  China &apos; s New Energy Co. Ltd."
1177,(Контингент: CGN-20210510002),"1-й и 2-й группы BJ проекта LOT134Bd с низким давлением, Насосы с низким давлением LOT134Bd (запрос No CGN-20210510002) в блоке BJ проекта 1 и 2 для определения участника проекта, например,, Наблюдение за данной тендерной программой",2021-06-11,24868600, Shanghai Apollo Mechanics," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1178,(Контингент: CGN-20221117004),"В 2022 году была произведена совместная закупка оборудования для замены коробок (второй пункт: ветряная коробка в Синьцзяне), CGN-202211170004 был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-01-30,29697480, China Electric Company, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy Tori Ltd
1179,,"Проект по ремонту на Японском острове 2023-2026 годы, Циркуляр результатов, 2-й этап проекта по ремонту на Японском острове в 2023-2026 годах (номер тендера: CGN-20221019003), определяющий, Название проекта: Проект по ремонту на Ядерном острове 2023-2026 гг., Инспекции по проверке, Наблюдение за данной тендерной программой",2023-02-28,7918200,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1180,Номер запроса: CGN-202208310003,"Проект &lt; &lt; Технология производства &gt; &gt; , BBX, Циркуляр результатов, Проект BBX по технологическому строительству в рамках проекта HLF (номер тендера: CGN-202208310003) для определения проекта, Наименование проекта: строительство BBX технического офиса проекта HLF, Наблюдение за данной тендерной программой, 11 сентября 2023 года",2023-09-11,98271121,," Китайская ядерная промышленность,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1181,,"75 000 кВт/ч для старого ветряного ветряного ветряного ветряного ветряного ветряного вала в Та-Тауне, 300 000 кВт/ч для строительства стеностроения, 75 000 киловатт-часов на старом ветру Бента-Сити, 300 000 киловатт-часов в сочетании с 300 000 кВт-часовой установкой (перезагрузка), Надзор за осуществлением данного тендерного проекта /.",2023-02-22,29515689,, &quot; Чайна инжиниринг лимитед &quot;,",  China and China New Energy Tori Ltd"
1182,(Контингент: CGN-202203230007),Наблюдение за данной тендерной программой,2022-05-24,38070000,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1183,(Контингент: CGN-20220810004),"1,4 млн. киловатт-приемников на базе &lt; &lt; Джилинджиси &gt; &gt; , 1,4 млн. киловатт-приемников, закупка оборудования для 2 - 1 ветровой электроустановки, Закупка 2-1 ветряного оборудования для проекта 1,4 млн. кВт в Белом доме на базе Бен-Гиллингиси (запрос No: CGN-1), Наблюдение за данной тендерной программой",2022-12-28,464880000, Zero Song," компания &quot; Белая энергетика &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1184,,"Циркуляр результатов, Основная тема исследования разлома в районе проекта LN (номер тендера: CGN-202303240002) идентифицирует участников проекта, Название проекта: Ключевые разломы в районе проекта LN, Наблюдение за данной тендерной программой",2023-05-30,1534032,, &quot; Чайна инжиниринг лимитед &quot;, Шэньчжэнь
1185,(Конференция: CGN-20230310002),"Проект LF LOT45E Обыкновенные клапаны безопасности на острове, клапаны с низким и средним давлением, клапаны с прекращением действия, В рамках проекта LOT45E обычные клапаны безопасности на острове, клапаны с низким и средним давлением, клапаны с конвергенцией и клапаны с обратной связью (номер тендера: CGN-CGN-Business), Наблюдение за данной тендерной программой",2023-05-31,11943063,," компания &lt; &lt; Нью-Уивер &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1186,,"Закупка 2-го тендерного проекта с использованием теплового компрессора, Циркуляр результатов, Закупка 2-го торга на этот высокотемпературный испытательный испытательный стенд (номер тендера: CGN-202303030010-N1) для определения проекта, Название проекта: Закупка 2-го торга на испытательном пуске с высокой температурой, Наблюдение за данной тендерной программой",2023-08-01,5985000,," &lt; &lt; Чайна инк. &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1187,,"1-й проект по обслуживанию систем электроснабжения, Циркуляр результатов, В рамках проекта по обслуживанию систем электроснабжения (запрос No CGN-20210409003) будет определен медианный показатель проекта., Название проекта: Слабая система обслуживания, Наблюдение за данной тендерной программой",2023-02-07,2902503, Цифровые технологии," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1188,,"Проект датчиков температуры LOT101B для блока 1 и 2, Циркуляр результатов, Датчик температурного уровня LOT101B для блока 1 и 2 проекта (номер тендера: CGN-202109230003), Наименование проекта: датчики температуры LOT101B для блока 1 и 2., Наблюдение за данной тендерной программой",2023-02-01,17958800,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1189,(Контингент: CGN-202301110001),"Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база, и результаты тендера на замену коробки (пункт 4), Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база и коробка, Депозитарий (пункт 4) (номер тендера: CGN-202301110001) был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-03-09,36576069,, &quot; Чайна инжиниринг лимитед &quot;, компания &quot; Белая энергетика &quot;
1190,(Контингент: CGN-202307050010),"Закупка ретрансформатора проекта 1 млн кВт (2 шт) на базе экологически чистой энергии в Китае, Закупка ретрансформатора проекта 1 млн. киловатт-Вт на базе экологически чистой энергетики в регионе (2 шт) (заказ No CGN-CGN-VL), Наблюдение за данной тендерной программой",2023-08-23,63911925,," солнечная энергетика &quot; Тумушук &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1191,(Контингент: CGN-202203210003),"Первый ретрансформатор 2022 года - проект Гуандун II (Конференция No: CGN-CGN), Наблюдение за данной тендерной программой",2022-05-18,11590656,," &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1192,(Контингент: CGN-20220803005),Надзор за осуществлением данного тендерного проекта /.,2022-10-10,6393230, Jiangsu Hong Co., &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Немонгольская компания &gt; &gt;
1193,(Контингент: CGN-202211140006),"Закупка оборудования для фотоаппаратов УНИТА (первый пункт: C, D), Закупка оборудования для фотоаппаратов УНИТА (первый пункт: C, D) (номер тендера: CGN-, Надзор за осуществлением данного тендерного проекта /.",2023-01-16,,, &quot; Чайна инжиниринг лимитед &quot;," &lt; &lt; Синьхуа &gt; &gt; , &lt; &lt; Коул &gt; &gt;"
1194,(Контингент: CGN-20230627005),"Краткая информация о результатах закупок по портфелю 2023 года (пункт 1), Закупка матрицы нового энергоблока 2023 года (пункт 1) (номер тендера: CGN-202306270005), Надзор за осуществлением данного тендерного проекта /.",2023-08-24,,, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хиросима &gt; &gt;
1195,(Контингент: CGN-202206140006),Наблюдение за данной тендерной программой,2022-08-12,890000,," &lt; &lt; Четверка &gt; &gt; в Пекине,  первоначальная компания &lt; &lt; Синьцзян лимитед &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1196,,"Результаты проекта BJ LOT69 по системам постоянного тока и бесперебойного питания, В рамках проекта BJ LOT69 (Конференция No CGN-202105190017) была установлена система постоянного тока и бесперебойной электропитания, включающая в себя:, Проект BJ проект LOT69 - система постоянного тока и бесперебойного питания, Наблюдение за данной тендерной программой",2022-01-10,28388636, Шэньчжэнь Шэньчжэнь," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1197,(Контингент: CGN-20220620002),Надзор за осуществлением данного тендерного проекта /.,2022-09-08,,,",  China and China (Пекин),  &quot; Чайна инжиниринг лимитед &quot;",
1198,,"Проект: Закупка электроэнергии с прямым потоком (перезакупка), Наблюдение за данной тендерной программой",2022-02-21,8166000,," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
1199,,"Проект по ремонту и модернизации базы &lt; &lt; Коп &gt; &gt;, Циркуляр результатов, Проект по ремонту стендов на базе CGN-202305190022 на базе CGN-202305190022, Наименование проекта: проект по модернизации базы &lt; &lt; Коп &gt; &gt; в рамках проекта &lt; &lt; Чистая энергетика &gt; &gt;, Наблюдение за данной тендерной программой",2023-07-07,, Шанхайская компания Tanwan," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1200,"(Контингент: CGN-202307040025), Номер: CGN-202307040025, идентифицированные лица:","Результаты, Надзор за осуществлением данного тендерного проекта /.",2023-08-23,19767203,, &quot; Чайна инжиниринг лимитед &quot;,",  China and China New Energy Sound"
1201,,"Закупка оборудования для технического обслуживания (электрические инструменты измерения) (CGN-202211010004), Циркуляр результатов, Название проекта: Закупка оборудования для технического обслуживания (электрический инструмент измерения), Наблюдение за осуществлением данного тендерного проекта",2023-04-14,14972783, Шэньчжэнь," &lt; &lt; Чайна Хисано &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1202,(Контингент: CGN-20220509006),"30 МВт проект строительства фотоэлектрической сети в штате Гуанчжоу, Проект строительства 30 МВт фотоэлектрической сети в штате Гуанчжоу (Конференция No CGN-20220509006), Надзор за осуществлением данного тендерного проекта /.",2022-07-06,48286028,," &lt; &lt; ООО &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;", &lt; &lt; Ганьсун &gt; &gt;
1203,(Контингент: CGN-202210180003),"Обнародование результатов генерального подряда на строительство объектов по производству и монтажу HLF в Гуандуне, Генеральный контракт на строительство объектов по производству и комплектованию HLF в Гуандуне (номер тендера: CGN-, Наблюдение за данной тендерной программой",2023-01-06,156695808,," семнадцатая металлургическая компания,  &lt; &lt; Чайна Хиросима &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1204,,"Проект по закупке электрического источника Л, Циркуляр результатов, Название проекта: Закупка электрического источника для устройства L, Наблюдение за данной тендерной программой",2023-08-01,6086000,," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
1205,,"Проект &lt; &lt; Горное исследование &gt; &gt; , проект &lt; &lt; Долгосрочное соглашение &gt; &gt;, Циркуляр результатов, Проект топографической съемки и проектно-конструкторского долгосрочного соглашения (номер тендера: CGN-2023030009), Наименование проекта: проект топографической съемки, проект долгосрочного соглашения, Китайский институт дизайна юго-западной съемки, Наблюдение за данной тендерной программой",2023-05-30,2490640,, &quot; Чайна инжиниринг лимитед &quot;, Шэньчжэнь
1206,(Контингент: CGN-202212210004),"Обнародование результатов закупок мобильных цементных установок, Проект: Закупка мобильных цементных установок, Наблюдение за данной тендерной программой",2023-03-27,3653500,,",  Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
1207,(Конференция: CGN-20230428003),"100 МВт (200 МВт) проекта по созданию энергетических мощностей EPC в округе Наньцзян, 100 МВт (200 МВт) проекта по созданию энергетических мощностей EPC в округе Наньцзяна (проект тендера No CGN-, Надзор за осуществлением данного тендерного проекта /.",2023-08-30,289979998, China New Energy Hong Kong Company, &quot; Чайна инжиниринг лимитед &quot;,
1208,CGN-202103310009-N1,"Закупка 2 млн кВт морской ветроэнергетики в порту Гуанси (1) (переторг), Закупка 2 млн. кВт морской ветроэнергетики в порту Гуанси (1) (перезакупка) для определения проекта, Наблюдение за осуществлением данного тендерного проекта /",2021-07-06,7380000,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1209,(Конференция: CGN-20230425003),Надзор за осуществлением данного тендерного проекта /.,2023-06-28,4264140, Hong Kong, &quot; Чайна инжиниринг лимитед &quot;,
1210,,"Проект SK LOT140P, Циркуляр результатов, В данном проекте SK LOT140P механические сквозные элементы (номер тендера: CGN-20230625005) для определения участника проекта, например, Название проекта: Проект SK LOT140P, Наблюдение за данной тендерной программой",2023-09-04,26500196, Sandong," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1211,(Контингент: CGN-202212120001),"75 MW300 MWh хранится в тайге с 300 МВт ветряной установкой (пункт 1), 75 MW300MWh хранится в Бента-Сити с 300 МВт ветряной электрической установкой (пункт 1), Надзор за осуществлением данного тендерного проекта /.",2023-02-22,19733035,, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy Tori Ltd
1212,Номер запроса: CGN-202306060006,"Проект &lt; &lt; LOT130Ra &gt; &gt; по замене перевалочного оборудования, Циркуляр результатов, Проект LOT130Ra для замены оборудования для перевалки (номер тендера: CGN-20230606006), Наименование проекта &lt; &lt; СК &gt; &gt; , проект &lt; &lt; LOT130Ra &gt; &gt; , для замены оборудования для перевалки, Наблюдение за данной тендерной программой, 9 августа 2023 года",2023-08-09,18690000, Download," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1213,"(Контингент: CGN-202205120008), Номер: CGN-202205120008, идентифицированные лица:","Результаты, Надзор за осуществлением данного тендерного проекта /.",2022-07-05,, Texas Song Energy Ltd.," &lt; &lt; Анда &gt; &gt; , город Уланчаб,  &quot; Чайна инжиниринг лимитед &quot;",
1214,(Контингент: CGN-202211180004),"200 МВт электрического проекта EPC в китайской провинции Цзянсу, Китай, 200 МВт для проекта EPC по производству фотоэлектрической энергии в провинции Цзянсу, Китай (запрос No CGN-202211180004), Надзор за осуществлением данного тендерного проекта /.",2023-04-04,638130722,, &quot; Чайна инжиниринг лимитед &quot;," например, &lt; &lt; Дон Сюйп Энергия лтд. &gt; &gt;"
1215,(Конференция: CGN-20230707004),"На базе Чистой энергетики в Синьцзяне, Китай, планируется закупить 1 млн кВт системы хранения энергии, Закупка системы хранения энергии в размере 1 млн. кВт на базе экологически чистой энергетики Южной Кореи (запрос No CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2023-08-30,, Jiangang Haid New Energy Ltd, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy Sound
1216,(Контингент: CGN-202306140007),"AD, CS и BZ LOT41A (оборудование для нагрева воды), Проект AD, проект CS и проект BZ LOT41A (Оборудование для нагрева воды) (номер тендера: CGN-202306140007), Наименование проекта: проект AD, проект CS и проект BZ LOT41A (Устройство для нагрева воды), Оборудование), Наименование проекта: проект AD, проект CS и проект BZ LOT41A (Устройство для нагрева воды), Оборудование), Название проекта: Проект AD, проект CS и проект BZ LOT41A (Оборудование для нагрева воды), Оборудование), Наблюдение за данной тендерной программой",2023-09-06,"39000000, 42680000, 39000000"," Halbin Cooperate Company,  Shanghai Electric Electronics Television,  Halbin Cooperate Company"," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1217,,"AN Проект 1-2 и проект BJ LOT88C, Циркуляр результатов, Контейнерный шкаф неядерного класса на заводе LOT88C для блока 1-2 проекта AN и блока 1-2 проекта BJ (номер тендера: CGN-2), Наименование проекта AN-2 и LOT88C на всех установках группы BJ LOT88C, Наблюдение за данной тендерной программой",2023-02-07,2030177, China Super Electric Company," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1218,(Контингент: CGN-20210519002),Надзор за осуществлением данного тендерного проекта /.,2021-07-20,8264150," Lango County, New Energy Ltd", &quot; Чайна инжиниринг лимитед &quot;,
1219,(Контингент: CGN-202203280006),Надзор за осуществлением данного тендерного проекта /.,2022-05-07,2499480,, &quot; Чайна инжиниринг лимитед &quot;, China New Energy Chin State Ltd
1220,,"Закупка встроенных компонентов (перезакупка), Циркуляр результатов, Закупка встроенных компонентов (перезакупка) (номер тендерной заявки: CGN-202203210004-N1) для определения выигравшей стороны проекта, например, Название проекта: Закупка встроенных компонентов (перезакупка), Наблюдение за данной тендерной программой",2022-05-31,1890000, Hong Kong Huawei Technologies," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
1221,"(Контингент: CGN-20220830008), Номер: CGN-20220830008, идентифицированные лица:","Закупка оборудования для комплексной энергетической программы 490 МВт для тепловых систем в рамках проекта &lt; &lt; Гилинда &gt; &gt;, Результаты, Закупка оборудования для оптического теплового комплекса для комплексного энергетического проекта мощностью 490 МВт (проект конкурса), Надзор за осуществлением данного тендерного проекта /.",2022-11-14,486351888,, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Гранд-Ан &gt; &gt;
1222,,"Проект LOT140Jb, Циркуляр результатов, Проект LOT140Jb Оборудование для ядерного сопротивления острова (номер тендера: CGN-20221220003) для определения победителей проекта, например, Наименование проекта LOT140Jb, Наблюдение за данной тендерной программой",2023-02-02,1193780, Shanghai Renault Machinery," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1223,(Контингент: CGN-202304060020),Наблюдение за данной тендерной программой,2023-06-13,8546000, электрическая компания," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1224,(Контингент: CGN-202204180004),"100 МВт наземной ветроэнергетики в Чинго, Китай, 100 МВт проект по проектированию наземной ветроэнергетики на высоте 100 МВт (запрос No: CGN-202204180004, Наблюдение за данной тендерной программой",2022-05-24,1800000,," &lt; &lt; Инк. &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
1225,,"Проект &quot; BJ &quot; , проект &quot; BOP &quot; (второй контрактный пакет), Циркуляр результатов, Проект BOP 1 (второй контракт) (номер тендера: CGN-202301130001) для определения проекта, Наименование проекта: проект &quot; БОП-1 &quot; (второй контрактный пакет), Наблюдение за данной тендерной программой",2023-04-03,218571717,," Китайская ядерная промышленность,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1226,(Контингент: CGN-20210518001),"Закупка горячей трубки в монастыре (пункт 2: Закупка электрической трубки в монастыре) (заказ No CGN-CGN), Наблюдение за данной тендерной программой",2021-06-21,4310160,, &quot; Чайна инжиниринг лимитед &quot;,",  China &apos; s New Energy Co. Ltd."
1227,(Контингент: CGN-20211217001),Надзор за осуществлением данного тендерного проекта /.,2022-05-12,134655200,, &quot; Чайна инжиниринг лимитед &quot;,",  &lt; &lt; Чайна Хиросима &gt; &gt;"
1228,(Контингент: CGN-202305240015),"Закупка 2-го участка ветряной дороги, основы ветряной машины, электропроводки в Гуандуне, 2-й этап проекта в области ветроэнергетики в Гуандуне, основы ветроэнергетики, проект по закупке электрической линии (номер тендера:, CGN-202305240015 был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-07-06,41999888,, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Гуаньчжоу &gt; &gt;
1229,(Контингент: CGN-20220919001),"SK-проект LOT134Bb (Насосы низкого давления), Данный проект SK LOT134Bb (Насосы с низким давлением) (номер тендера: CGN-20220919001) для определения участника проекта., Наблюдение за данной тендерной программой",2022-12-16,24979990, Shanghai Apollo Mechanics," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
